sympy,natural_language
"ForAll(b, Equivalent(Implies(Implies(k(u, w) == u, W(y)), (V(c)) & (m(a, u) == b)), ((P(x)) | (U(u, z))) & (Implies(R(v), h(a, u) == z))))","For all b, If If k(u, w) equals u, then W of y, then V of c and m(a, u) equals b if and only if P of x or U of u and z and If R of v, then h(a, u) equals z."
"(~(Implies(R(x, y, c), f(w, z) == a))) & (Implies((Q(z, b)) | (U(w, u)), Implies(k(a, b) == a, m(a, z) == z)))","not (If R of x and y and c, then f(w, z) equals a) and If Q of z and b or U of w and u, then If k(a, b) equals a, then m(a, z) equals z."
"ForAll(u, Implies((Equivalent(V(w, a, v), f(x) == a)) & ((g(w) == x) | (T(z, y))), (Equivalent(f(z) == u, k(v) == w)) & ((Q(c, v)) | (P(u, c)))))","For all u, If V of w and a and v if and only if f(x) equals a and g(w) equals x or T of z and y, then f(z) equals u if and only if k(v) equals w and Q of c and v or P of u and c."
"ForAll(c, Equivalent(P(v, w, x), k(b, x) == a))","For all c, P of v and w and x if and only if k(b, x) equals a."
"ForAll(x, ForAll(w, (~((P(c)) | (m(z, a) == v))) & (Implies(Implies(m(x, z) == c, f(a) == x), Implies(k(x) == c, h(y) == u)))))","For all x, For all w, not (P of c or m(z, a) equals v) and If If m(x, z) equals c, then f(a) equals x, then If k(x) equals c, then h(y) equals u."
"ForAll(c, T(a, y))","For all c, T of a and y."
"P(v, c, w)",P of v and c and w.
"Exists(w, ~(Equivalent(k(c, w) == y, g(v) == c)))","There exists an w such that not (k(c, w) equals y if and only if g(v) equals c)."
"Exists(b, Exists(a, P(y)))",There exists an b such that There exists an a such that P of y.
"ForAll(b, ForAll(a, k(x, y) == x))","For all b, For all a, k(x, y) equals x."
"Exists(y, f(w) == c)",There exists an y such that f(w) equals c.
"Exists(x, k(w, u) == u)","There exists an x such that k(w, u) equals u."
"ForAll(w, Implies((S(v, w)) | (U(a, w, u)), Equivalent(S(u, z), g(a, z) == y)))","For all w, If S of v and w or U of a and w and u, then S of u and z if and only if g(a, z) equals y."
"Equivalent(Equivalent(m(x) == u, U(u, z, a)), Implies(k(v) == w, f(w) == z))","m(x) equals u if and only if U of u and z and a if and only if If k(v) equals w, then f(w) equals z."
"ForAll(c, ForAll(b, ~(g(c) == b)))","For all c, For all b, not (g(c) equals b)."
"(k(y, c) == c) | (R(b, a))","k(y, c) equals c or R of b and a."
"Q(z, y)",Q of z and y.
"ForAll(b, ForAll(a, Equivalent(g(v) == v, P(w, b, a))))","For all b, For all a, g(v) equals v if and only if P of w and b and a."
"ForAll(a, h(w, a) == a)","For all a, h(w, a) equals a."
"(f(w) == z) | (g(w, u) == b)","f(w) equals z or g(w, u) equals b."
"S(x, b)",S of x and b.
"ForAll(v, ((U(b)) & (U(x))) | (~(g(x, c) == c)))","For all v, U of b and U of x or not (g(x, c) equals c)."
"Exists(x, (Equivalent((U(v)) & (W(y, z)), (k(v) == a) & (k(u, z) == x))) & (((k(z, c) == v) & (h(b) == z)) & (~(R(x, a, w)))))","There exists an x such that U of v and W of y and z if and only if k(v) equals a and k(u, z) equals x and k(z, c) equals v and h(b) equals z and not (R of x and a and w)."
"ForAll(x, ~(~(h(z) == b)))","For all x, not (not (h(z) equals b))."
"ForAll(y, (k(a) == u) & (P(x)))","For all y, k(a) equals u and P of x."
"ForAll(v, ForAll(c, Implies(((m(z) == c) & (h(w) == c)) & ((T(u)) | (k(y, u) == a)), Equivalent(Equivalent(V(c), T(b, v)), (g(y) == x) | (S(x, a, u))))))","For all v, For all c, If m(z) equals c and h(w) equals c and T of u or k(y, u) equals a, then V of c if and only if T of b and v if and only if g(y) equals x or S of x and a and u."
"Exists(a, (V(w, x)) & (W(a, b)))",There exists an a such that V of w and x and W of a and b.
"ForAll(a, ForAll(z, Equivalent(S(a, w), V(z))))","For all a, For all z, S of a and w if and only if V of z."
"ForAll(y, Implies(Equivalent(Equivalent(S(b, a, x), h(z) == c), Implies(Q(z, w), m(b, c) == z)), Equivalent(~(U(c, x, z)), ~(T(y, b, x)))))","For all y, If S of b and a and x if and only if h(z) equals c if and only if If Q of z and w, then m(b, c) equals z, then not (U of c and x and z) if and only if not (T of y and b and x)."
"ForAll(v, (k(y, b) == y) & (m(x, c) == w))","For all v, k(y, b) equals y and m(x, c) equals w."
"ForAll(x, ((m(w, b) == x) & (S(x))) & (~(P(y, a))))","For all x, m(w, b) equals x and S of x and not (P of y and a)."
"Exists(u, Implies((~(S(u))) & ((P(a)) | (P(b))), Implies(Implies(V(z, v), h(b) == v), (T(v, a, w)) | (k(v, x) == a))))","There exists an u such that If not (S of u) and P of a or P of b, then If If V of z and v, then h(b) equals v, then T of v and a and w or k(v, x) equals a."
"ForAll(z, Implies(~(k(w, u) == v), Equivalent(U(c, a, w), W(u, a))))","For all z, If not (k(w, u) equals v), then U of c and a and w if and only if W of u and a."
"Exists(c, k(c, b) == x)","There exists an c such that k(c, b) equals x."
"Exists(b, (h(a) == w) | (f(w, x) == w))","There exists an b such that h(a) equals w or f(w, x) equals w."
"Exists(v, Exists(z, (W(u)) | (g(x) == b)))",There exists an v such that There exists an z such that W of u or g(x) equals b.
"ForAll(b, Exists(u, ((P(y)) & (g(c, w) == y)) | ((U(x, z)) & (S(w, u)))))","For all b, There exists an u such that P of y and g(c, w) equals y or U of x and z and S of w and u."
"ForAll(c, Equivalent(Implies(R(u), m(v) == z), Implies(h(c) == a, U(y, x, v))))","For all c, If R of u, then m(v) equals z if and only if If h(c) equals a, then U of y and x and v."
"Equivalent(Implies(V(x, y), Q(y, b)), Equivalent(h(b) == x, R(c, y)))","If V of x and y, then Q of y and b if and only if h(b) equals x if and only if R of c and y."
"ForAll(w, (~(Equivalent(U(b, w, u), T(y, z)))) & (~((W(a, z, x)) | (S(y, a)))))","For all w, not (U of b and w and u if and only if T of y and z) and not (W of a and z and x or S of y and a)."
"ForAll(z, k(v) == w)","For all z, k(v) equals w."
"Implies(Equivalent(~(T(u)), (U(y, v)) | (R(w))), Implies(~(R(u, y, b)), (h(b, a) == b) & (U(v))))","If not (T of u) if and only if U of y and v or R of w, then If not (R of u and y and b), then h(b, a) equals b and U of v."
"ForAll(x, T(u, a, v))","For all x, T of u and a and v."
"ForAll(c, Exists(u, Implies(k(y) == w, g(b) == z)))","For all c, There exists an u such that If k(y) equals w, then g(b) equals z."
"ForAll(z, g(x) == c)","For all z, g(x) equals c."
"Exists(a, Q(w, b))",There exists an a such that Q of w and b.
"ForAll(x, ForAll(w, ~(~(~(k(b) == v)))))","For all x, For all w, not (not (not (k(b) equals v)))."
"Equivalent(~(R(a)), Equivalent(W(c, x, y), h(z) == w))",not (R of a) if and only if W of c and x and y if and only if h(z) equals w.
"Exists(y, f(v) == a)",There exists an y such that f(v) equals a.
"Implies(m(x) == y, R(y, x))","If m(x) equals y, then R of y and x."
"ForAll(z, (T(z)) | (Q(u)))","For all z, T of z or Q of u."
"Exists(u, Q(a, y, w))",There exists an u such that Q of a and y and w.
"Exists(w, Implies(Equivalent(Equivalent(W(u, a, v), T(b, a)), (U(z)) & (Q(x, b))), ~((f(y, z) == u) & (U(y, c, a)))))","There exists an w such that If W of u and a and v if and only if T of b and a if and only if U of z and Q of x and b, then not (f(y, z) equals u and U of y and c and a)."
"Exists(u, Exists(w, ((g(w, c) == a) | (V(b, y))) | (Equivalent(V(z, a, y), k(z) == a))))","There exists an u such that There exists an w such that g(w, c) equals a or V of b and y or V of z and a and y if and only if k(z) equals a."
"Exists(c, ~((Equivalent(h(z) == z, k(v) == v)) & ((g(x) == v) | (V(y, v)))))",There exists an c such that not (h(z) equals z if and only if k(v) equals v and g(x) equals v or V of y and v).
"~(m(u, a) == v)","not (m(u, a) equals v)."
"ForAll(v, Equivalent((m(x, u) == a) | (T(c)), (S(y, w)) & (R(y, z, u))))","For all v, m(x, u) equals a or T of c if and only if S of y and w and R of y and z and u."
"ForAll(c, P(a, z))","For all c, P of a and z."
"Exists(y, ((Implies(S(x, y, v), V(x, b))) & ((m(v, b) == x) & (Q(b)))) | (Equivalent(Implies(k(c, y) == c, Q(b, u)), Implies(V(u), W(w)))))","There exists an y such that If S of x and y and v, then V of x and b and m(v, b) equals x and Q of b or If k(c, y) equals c, then Q of b and u if and only if If V of u, then W of w."
"ForAll(w, ForAll(z, Equivalent(Equivalent((S(c)) | (R(x, y)), (Q(a, b)) | (g(y) == a)), ((W(c)) | (h(x) == v)) | ((U(v, w, c)) & (m(w) == a)))))","For all w, For all z, S of c or R of x and y if and only if Q of a and b or g(y) equals a if and only if W of c or h(x) equals v or U of v and w and c and m(w) equals a."
"Exists(u, ForAll(c, ~(Equivalent(R(w, y, c), k(z, y) == z))))","There exists an u such that For all c, not (R of w and y and c if and only if k(z, y) equals z)."
"Exists(x, Exists(z, Implies(~(T(w, u, x)), Implies(S(x), m(c, w) == x))))","There exists an x such that There exists an z such that If not (T of w and u and x), then If S of x, then m(c, w) equals x."
"Equivalent(k(w) == y, m(y) == u)",k(w) equals y if and only if m(y) equals u.
"ForAll(v, Exists(v, (Implies(~(g(x, z) == v), Equivalent(T(y, u, a), S(z, u)))) & (Equivalent(~(T(v, c, y)), (g(z) == v) & (f(b, a) == w)))))","For all v, There exists an v such that If not (g(x, z) equals v), then T of y and u and a if and only if S of z and u and not (T of v and c and y) if and only if g(z) equals v and f(b, a) equals w."
"k(u, y) == u","k(u, y) equals u."
"Exists(a, Equivalent(~(f(c) == z), (S(w)) | (h(z, c) == x)))","There exists an a such that not (f(c) equals z) if and only if S of w or h(z, c) equals x."
"ForAll(w, Implies(Implies((V(y)) | (f(c) == u), (g(z, v) == x) | (g(v) == a)), Equivalent(Implies(T(u), h(c) == a), (h(z, v) == u) & (m(c) == w))))","For all w, If If V of y or f(c) equals u, then g(z, v) equals x or g(v) equals a, then If T of u, then h(c) equals a if and only if h(z, v) equals u and m(c) equals w."
"Exists(b, Equivalent(m(b, x) == u, h(u, w) == y))","There exists an b such that m(b, x) equals u if and only if h(u, w) equals y."
"Exists(u, P(w))",There exists an u such that P of w.
"Exists(y, Implies((k(a, b) == c) & (f(y, b) == x), ~(m(y, c) == x)))","There exists an y such that If k(a, b) equals c and f(y, b) equals x, then not (m(y, c) equals x)."
"Exists(a, (Implies(k(x, w) == y, Q(a, b, w))) & (Implies(T(u), m(c, w) == x)))","There exists an a such that If k(x, w) equals y, then Q of a and b and w and If T of u, then m(c, w) equals x."
"ForAll(z, (f(v) == z) & (R(w, b)))","For all z, f(v) equals z and R of w and b."
"ForAll(c, ~(Equivalent(U(b, a, w), T(c, y))))","For all c, not (U of b and a and w if and only if T of c and y)."
"Exists(z, Exists(w, ((m(a) == u) | (g(y) == x)) & (Equivalent(m(y, u) == x, g(b, w) == c))))","There exists an z such that There exists an w such that m(a) equals u or g(y) equals x and m(y, u) equals x if and only if g(b, w) equals c."
"ForAll(v, V(u, v, z))","For all v, V of u and v and z."
"Exists(b, ForAll(b, (Equivalent(Equivalent(Q(c), R(u, c, z)), Equivalent(P(b, u), T(v, w)))) & (Implies(Equivalent(g(u, a) == b, W(b, v, a)), Equivalent(m(v, u) == v, U(u, b, w))))))","There exists an b such that For all b, Q of c if and only if R of u and c and z if and only if P of b and u if and only if T of v and w and If g(u, a) equals b if and only if W of b and v and a, then m(v, u) equals v if and only if U of u and b and w."
"ForAll(y, Exists(a, (((W(a)) | (h(v) == b)) & (Implies(W(u, c), P(x, c, v)))) | (((m(u) == v) | (g(a, w) == u)) & ((V(x, c)) & (W(x, y))))))","For all y, There exists an a such that W of a or h(v) equals b and If W of u and c, then P of x and c and v or m(u) equals v or g(a, w) equals u and V of x and c and W of x and y."
"Exists(u, Implies(Implies(~(U(c, u, w)), (k(y, v) == v) & (k(c) == a)), ((k(c, z) == x) & (V(w, c))) & (Implies(R(u, c), R(z, b, u)))))","There exists an u such that If If not (U of c and u and w), then k(y, v) equals v and k(c) equals a, then k(c, z) equals x and V of w and c and If R of u and c, then R of z and b and u."
"ForAll(w, Exists(w, Implies(((f(y) == c) | (f(b, v) == b)) & ((W(c, w)) | (W(v, c))), (Equivalent(f(z) == u, Q(c, a))) | (Implies(k(y, u) == y, f(x) == z)))))","For all w, There exists an w such that If f(y) equals c or f(b, v) equals b and W of c and w or W of v and c, then f(z) equals u if and only if Q of c and a or If k(y, u) equals y, then f(x) equals z."
"Exists(c, Exists(w, (g(b) == c) | (m(c) == v)))",There exists an c such that There exists an w such that g(b) equals c or m(c) equals v.
"Exists(c, ForAll(u, k(z, u) == c))","There exists an c such that For all u, k(z, u) equals c."
"Exists(u, P(u, y, a))",There exists an u such that P of u and y and a.
"~(Implies(R(y, w), g(y) == z))","not (If R of y and w, then g(y) equals z)."
"Implies(V(y, u), U(w))","If V of y and u, then U of w."
"S(x, u)",S of x and u.
"(Implies(Q(x, a, z), h(b, a) == a)) & ((f(y) == z) & (h(x) == a))","If Q of x and a and z, then h(b, a) equals a and f(y) equals z and h(x) equals a."
k(x) == x,k(x) equals x.
"~(Equivalent(m(a) == c, Q(b, w, c)))",not (m(a) equals c if and only if Q of b and w and c).
"Exists(x, Exists(x, (((S(v)) | (m(x) == x)) & (~(k(z) == c))) | (((W(v)) & (m(z, v) == u)) & (~(f(w, z) == x)))))","There exists an x such that There exists an x such that S of v or m(x) equals x and not (k(z) equals c) or W of v and m(z, v) equals u and not (f(w, z) equals x)."
"Exists(c, ForAll(c, Equivalent((P(a, w)) & (k(b, a) == w), Implies(U(a, c, w), g(y) == a))))","There exists an c such that For all c, P of a and w and k(b, a) equals w if and only if If U of a and c and w, then g(y) equals a."
"Exists(z, Implies(Implies((S(a)) & (R(z, x)), (V(x, v, u)) | (k(x) == u)), ~((m(u, z) == v) & (Q(v, b, a)))))","There exists an z such that If If S of a and R of z and x, then V of x and v and u or k(x) equals u, then not (m(u, z) equals v and Q of v and b and a)."
"Exists(c, Equivalent(V(b, u, w), U(u, z, w)))",There exists an c such that V of b and u and w if and only if U of u and z and w.
"Exists(v, Implies(Equivalent((k(z) == w) & (R(c, x, a)), Equivalent(U(u), U(a, v))), Equivalent(Equivalent(V(v, w, a), T(v, w)), (U(u)) | (U(w, c)))))","There exists an v such that If k(z) equals w and R of c and x and a if and only if U of u if and only if U of a and v, then V of v and w and a if and only if T of v and w if and only if U of u or U of w and c."
"Exists(w, ForAll(a, T(c, a, w)))","There exists an w such that For all a, T of c and a and w."
"Exists(w, W(a, v, z))",There exists an w such that W of a and v and z.
"~((h(a) == b) | (P(x, u, z)))",not (h(a) equals b or P of x and u and z).
"ForAll(z, g(y) == w)","For all z, g(y) equals w."
"ForAll(u, ForAll(v, ~((R(b, a)) & (m(c) == v))))","For all u, For all v, not (R of b and a and m(c) equals v)."
"Exists(a, Exists(v, (U(u)) & (g(c, a) == a)))","There exists an a such that There exists an v such that U of u and g(c, a) equals a."
"Exists(a, g(a) == x)",There exists an a such that g(a) equals x.
"ForAll(c, Equivalent(U(u, a, w), m(y) == z))","For all c, U of u and a and w if and only if m(y) equals z."
"ForAll(b, Implies(Implies(U(u, c), W(b, w, a)), Implies(V(z), h(w) == a)))","For all b, If If U of u and c, then W of b and w and a, then If V of z, then h(w) equals a."
"Exists(w, h(y) == c)",There exists an w such that h(y) equals c.
"ForAll(w, T(v, y, a))","For all w, T of v and y and a."
"ForAll(b, Implies(h(c) == u, h(b, a) == w))","For all b, If h(c) equals u, then h(b, a) equals w."
"Exists(b, Exists(c, h(v, u) == v))","There exists an b such that There exists an c such that h(v, u) equals v."
